Program,Week,Day,Order,Exercise,Sets,Reps,Tempo,Rest,RPE,Instruction
Functional Body Composition,4.0,3.0,W2,Bottom up KB OH Carry R,3.0,20m,0-0-0-0,0s,5.0,
Functional Body Composition,4.0,3.0,W3,Bottom Up Single Arm KB Press L,3.0,5,0-0-0-0,0s,5.0,
Functional Body Composition,4.0,3.0,W4,Bottom up KB OH Carry L,3.0,20m,0-0-0-0,0s,5.0,
Functional Body Composition,4.0,3.0,W5,Single Arm Ring Row,3.0,8/arm,0-0-0-0,0s,5.0,
Functional Body Composition,4.0,3.0,1a,Incline Close Grip Bench Press,3.0,10-12,3-1-X-0,60s,7.0,
Functional Body Composition,4.0,3.0,1b,Single Arm DB Tripod Row,3.0,8-10/arm,2-0-X-2,60s,7.0,
Functional Body Composition,4.0,3.0,2a,Single Arm Dumbbell Bench Press,3.0,8-10/arm,3-1-X-0,60s,7.0,
Functional Body Composition,4.0,3.0,2b,Lean Away Strict Ring Pull Up,3.0,8-10,4-0-X-0,60s,7.0,
Functional Body Composition,4.0,3.0,3,Not For Time,5.0,1 round,0-0-0-0,0s,7.0,20sec Single Arm Plank R; 20sec Single Arm Plank L; 12 Body Rows; 12 Diamond Push Ups
Functional Body Composition,4.0,4.0,W1,Single Leg Glute Bridge + Isometric R,3.0,10+15sec,0-0-0-0,0s,5.0,
Functional Body Composition,4.0,4.0,W2,Single Leg Glute Bridge + Isometric L,3.0,10+15sec,0-0-0-0,30s,5.0,
Functional Body Composition,4.0,4.0,W3,Bodyweight Drop Lunge to Knee Lift,3.0,8/side,0-0-0-0,0s,5.0,
Functional Body Composition,4.0,4.0,1a,Frog Stance Deadlift,3.0,10-12,3-1-X-1,60s,7.0,
Functional Body Composition,4.0,4.0,1b,KB Rack Deficit Split Squat,3.0,8-10/leg,2-1-1-0,60s,7.0,
Functional Body Composition,4.0,4.0,2a,GHD Hip Extension,3.0,8-10,3-0-2-1,60s,7.0,
Functional Body Composition,4.0,4.0,2b,Goblet Cossack Squat,3.0,16-20 alt,3-0-X-0,60s,7.0,
Functional Body Composition,4.0,4.0,3,Consistent Pace E10M x 2,2.0,1 set,0-0-0-0,0s,8.0,250/225m Row; 12 DB Front Squats 50/30lbs; 10 Devils Press 50/30lbs; 12 DB Front Squats 50/30lbs; 250/225m Row
Functional Body Composition,4.0,5.0,W1,Alternating Tall Plank Shoulder Taps,3.0,20,0-0-0-0,0s,5.0,
Functional Body Composition,4.0,5.0,W2,Bent Over Reverse DB Fly,3.0,12,0-0-0-0,0s,5.0,Light weight
Functional Body Composition,4.0,5.0,W3,Ring Row Hold,3.0,30sec,0-0-0-0,0s,5.0,
Functional Body Composition,4.0,5.0,1a,Farmers Press,3.0,8-10/arm,2-0-X-1,60s,7.0,
Functional Body Composition,4.0,5.0,1b,Decline Narrow Grip Bench Press,3.0,10-12,2-0-2-0,60s,7.0,
Functional Body Composition,4.0,5.0,1c,Alternating Dumbbell Curls,3.0,8-10/arm,3-0-X-1,60s,7.0,
Functional Body Composition,4.0,5.0,2,Interval Weight Training,3.0,1 set,0-0-0-0,2-3min,8.0,Assault Bike 14/12 Cals; 10 Alt KB Gorilla Rows 70/53; 10 Dual KB Sumo Deadlifts 70/53; Assault Bike 14/12 Cals
Functional Body Composition,4.0,5.0,3,Not For Time,3.0,1 set,0-0-0-0,0s,6.0,10/arm Single Arm DB Upright Row 2010; 10-12 Banded Reverse Crunch 30X0; 10/arm Single Arm DB Tricep Kickback 20X0
Functional Body Composition,4.0,6.0,REST,Rest Day,0.0,0,0-0-0-0,0s,0.0,Easy Active Recovery
Functional Body Composition,4.0,7.0,REST,Rest Day,0.0,0,0-0-0-0,0s,0.0,Full Rest Day
Functional Body Composition,5.0,1.0,W1,Half Kneeling Band Pull Aparts,3.0,8/knee,0-0-0-0,0s,5.0,
Functional Body Composition,5.0,1.0,W2,Lateral Box Step Over,3.0,12,0-0-0-0,0s,5.0,
Functional Body Composition,5.0,1.0,W3,Quadruped Shoulder Taps,3.0,30sec,0-0-0-0,0s,5.0,
Functional Body Composition,5.0,1.0,1a,Back Rack Split Squat,4.0,8-10/leg,2-1-1-0,60s,8.0,Rear foot on 4-6 inch plates
Functional Body Composition,5.0,1.0,1b,Pronated Strict Pull Up,4.0,8-10,2-0-1-1,60s,8.0,
Functional Body Composition,5.0,1.0,2a,Cyclist Front Squat,4.0,8-10,3-1-X-0,60s,8.0,
Functional Body Composition,5.0,1.0,2b,Chainsaw Row,4.0,8-10/arm,2-0-X-2,60s,8.0,
Functional Body Composition,5.0,1.0,3,Pre-Fatigue Muscle Endurance,3.0,3min AMRAP,0-0-0-0,2min,8.0,Row 20/17 cals then max rounds: 2 Alt KB Gorilla Rows 53/35; 2 Dual KB Hang Squat Cleans 53/35; 2 Alt KB Thrusters 53/35
Functional Body Composition,5.0,2.0,W1,Dumbbell Deadlifts,3.0,7,0-0-0-0,0s,5.0,
Functional Body Composition,5.0,2.0,W2,Dumbbell Hang Power Cleans,3.0,7,0-0-0-0,0s,5.0,
Functional Body Composition,5.0,2.0,W3,Dumbbell Push Press,3.0,7,0-0-0-0,0s,5.0,
Functional Body Composition,5.0,2.0,W4,Run Acceleration,3.0,100m,0-0-0-0,0s,5.0,Get quicker each 25m; no full sprints
Functional Body Composition,5.0,2.0,1a,Segmented Clean Deadlift,4.0,6-8,3-1-3-1,60s,8.0,Use straps
Functional Body Composition,5.0,2.0,1b,Half Kneeling Barbell Press,4.0,4-5/knee,2-0-X-2,60s,8.0,8-10 total reps per set
Functional Body Composition,5.0,2.0,2a,Deficit Landmine Single Leg RDL,4.0,8-10/leg,3-0-1-0,60s,8.0,
Functional Body Composition,5.0,2.0,2b,Single Arm Dumbbell Push Press,4.0,8-10/arm,3-0-X-1,60s,8.0,Explosive up; 3sec controlled lowering
Functional Body Composition,5.0,2.0,3,For Time @ 85%,1.0,10-9-8-7-6-5-4-3-2-1,0-0-0-0,2min,8.0,Toes to Rings; 100m Row between sets (9 sets)
Functional Body Composition,5.0,2.0,4,For Time,1.0,10-9-8-7-6-5-4-3-2-1,0-0-0-0,0s,8.0,Tuck Ups; 100m Run between sets (9 sets)
Functional Body Composition,5.0,3.0,W1,Mixed KB Rack Overhead Carry,1.0,20m/arm,0-0-0-0,0s,5.0,
Functional Body Composition,5.0,3.0,W2,Scapular Push Ups on Rings,1.0,10,0-0-0-0,0s,5.0,
Functional Body Composition,5.0,3.0,W3,Single Arm Passive Ring Hang,1.0,15sec/arm,0-0-0-0,0s,5.0,
Functional Body Composition,5.0,3.0,W4,Ring Face Pull,1.0,10,0-0-0-0,0s,5.0,
Functional Body Composition,5.0,3.0,1a,Wide Grip Bench Press,4.0,10-12,3-1-X-0,60s,8.0,
Functional Body Composition,5.0,3.0,1b,Pendlay Row,4.0,10-12,3-0-X-1,60s,8.0,
Functional Body Composition,5.0,3.0,2a,Strict Bar Dips,4.0,10-12,2-0-2-0,60s,8.0,
Functional Body Composition,5.0,3.0,2b,Body Row,4.0,12-14,3-0-X-0,60s,8.0,
Functional Body Composition,5.0,3.0,3,Continuous Pace 10min,1.0,10min,0-0-0-0,0s,7.0,20m Single Arm Farmers Walk R heavy; 5 Strict Pull Ups; 20m Single Arm Farmers Walk L heavy; 5 Strict Bar Dips; 10 Leg Tuck Ups holding dip support
Functional Body Composition,5.0,4.0,W1,Single Leg BW Hip Thrust + Isometric R,3.0,10+10sec,0-0-0-0,0s,5.0,
Functional Body Composition,5.0,4.0,W2,Single Leg BW Hip Thrust + Isometric L,3.0,10+10sec,0-0-0-0,30s,5.0,
Functional Body Composition,5.0,4.0,W3,Single Leg Sorenson R,3.0,15sec,0-0-0-0,0s,5.0,
Functional Body Composition,5.0,4.0,W4,Single Leg Sorenson L,3.0,15sec,0-0-0-0,30s,5.0,
Functional Body Composition,5.0,4.0,W5,Star Plank R,3.0,15sec,0-0-0-0,0s,5.0,
Functional Body Composition,5.0,4.0,W6,Star Plank L,3.0,15sec,0-0-0-0,0s,5.0,
Functional Body Composition,5.0,4.0,1a,Snatch Grip Romanian Deadlift,4.0,8-10,3-1-1-0,60s,8.0,
Functional Body Composition,5.0,4.0,1b,Suitcase Long Step Walking Lunge,4.0,14-16 steps,3-0-X-0,60s,8.0,
Functional Body Composition,5.0,4.0,2a,Barbell Hip Thrust,4.0,8-10,2-0-X-2,60s,8.0,
Functional Body Composition,5.0,4.0,2b,Goblet 1-1/4 Squat,4.0,8-10,2-1-1-1,60s,8.0,2sec lower; 1sec pause bottom; 1/4 squat and back down; rebound up; 1sec pause top
Functional Body Composition,5.0,4.0,3,EMOM x 12min,12.0,1 round,0-0-0-0,0s,8.0,1st: 15 Russian KBS 70/53lbs; 2nd: 6-8 DB Burpee Box Step Ups 50/35lbs knee height; 3rd: 30sec Russian Twist 20/14lbs Med Ball
Functional Body Composition,5.0,5.0,W1,Down Dog Shoulder Taps,3.0,20,0-0-0-0,0s,5.0,
Functional Body Composition,5.0,5.0,W2,Archer Ring Row Switch Holds,3.0,12,0-0-0-0,0s,5.0,2sec/arm
Functional Body Composition,5.0,5.0,W3,Side Plank Powell Raise,3.0,10/arm,0-0-0-0,0s,5.0,Move slow and deliberately
Functional Body Composition,5.0,5.0,1a,Tall Kneeling Filly Press,4.0,8-10/arm,2-1-1-1,60s,8.0,
Functional Body Composition,5.0,5.0,1b,Close Grip Parallette Tricep Push Up,4.0,8-10,3-0-1-1,60s,8.0,
Functional Body Composition,5.0,5.0,1c,Incline Bench Dumbbell Bicep Curl,4.0,8-10,4-0-X-1,60s,8.0,
Functional Body Composition,5.0,5.0,2,Interval Gymnastics,3.0,1 set,0-0-0-0,2-3min,8.0,Row 125/100m; 10 GHD Sit Ups; Row 125/100m; 10 Sit Ups; Row 125/100m
Functional Body Composition,5.0,5.0,3,For Quality,3.0,1 set,0-0-0-0,0s,6.0,15 Single Arm Banded Tricep Push Down R; 15 Single Arm Banded Tricep Push Down L; 30sec rest; 15 DB Shoulder Lateral Raise; 15 DB Shoulder Front Raise; 30sec rest; 10 DB Zottman Curls
Functional Body Composition,5.0,6.0,REST,Rest Day,0.0,0,0-0-0-0,0s,0.0,Easy Active Recovery
Functional Body Composition,5.0,7.0,REST,Rest Day,0.0,0,0-0-0-0,0s,0.0,Full Rest Day
Functional Body Composition,6.0,1.0,W1,Lateral Banded Walk Over,3.0,20,0-0-0-0,0s,5.0,Low plate
Functional Body Composition,6.0,1.0,W2,Alternating Goblet Curtsy Squats,3.0,12,2-0-X-0,0s,5.0,
Functional Body Composition,6.0,1.0,W3,Plank DB Row,3.0,8/arm,0-0-0-0,0s,5.0,
Functional Body Composition,6.0,1.0,1a,Front Rack Drop Lunge,4.0,16-20 alt,3-0-X-0,60s,8.0,
Functional Body Composition,6.0,1.0,1b,Supinated Strict Pull Up,4.0,8-10,2-0-1-1,60s,8.0,
Functional Body Composition,6.0,1.0,2a,Dual KB Rack Squat,4.0,8-10,2-1-1-1,60s,8.0,
Functional Body Composition,6.0,1.0,2b,Incline Bench Prone Row,4.0,8-12,3-0-X-1,60s,8.0,
Functional Body Composition,6.0,1.0,3,Muscle Endurance 10 Sets,10.0,1 round,0-0-0-0,30s,8.0,2 Burpee Pull Up; 4 Air Squats; 6 Jump Lunges; 20 Double Unders; rest 30sec after sets 2/4/6/8; optional weight vest
Functional Body Composition,6.0,2.0,W1,Death March,3.0,10 steps,0-0-0-0,0s,5.0,
Functional Body Composition,6.0,2.0,W2,Dual Dumbbell Push Press,3.0,8,2-0-X-0,0s,5.0,
Functional Body Composition,6.0,2.0,W3,Tall Box Jumps,3.0,6,0-0-0-0,0s,5.0,
Functional Body Composition,6.0,2.0,W4,Bike Acceleration,3.0,15sec,0-0-0-0,0s,5.0,Increase pace every 5sec
Functional Body Composition,6.0,2.0,1a,Segmented Snatch Grip Deadlift - 3 Pauses,4.0,6-8,3-1-3-1,60s,8.0,Use lifting straps
Functional Body Composition,6.0,2.0,1b,Barbell Z Press,4.0,8-10,3-0-2-1,60s,8.0,
Functional Body Composition,6.0,2.0,2a,Split Stance Dumbbell Romanian Deadlift,4.0,6-8/leg,3-1-1-0,60s,8.0,
Functional Body Composition,6.0,2.0,2b,Seated Alternating Dumbbell Arnold Press,4.0,8-10/arm,2-1-1-1,60s,8.0,
Functional Body Composition,6.0,2.0,3,Conditioning 3min AMRAP,1.0,3min,0-0-0-0,2min,9.0,High effort: 10/8 Row Cals; 10 Close Grip Bench Press 135/95lbs
Functional Body Composition,6.0,2.0,4,Not For Time,1.0,20,0-0-0-0,2min,6.0,Alternating Turkish Get Ups 53/35; Quality Position Focused
Functional Body Composition,6.0,2.0,5,Conditioning 3min AMRAP,1.0,3min,0-0-0-0,0s,9.0,High effort: 10/8 Bike Cals; 10 Toes to Rings
Functional Body Composition,6.0,3.0,W1,Bottom Up Single Arm KB Press R,1.0,5,0-0-0-0,0s,5.0,
Functional Body Composition,6.0,3.0,W2,Bottom up KB OH Carry R,1.0,20m,0-0-0-0,0s,5.0,
Functional Body Composition,6.0,3.0,W3,Bottom Up Single Arm KB Press L,1.0,5,0-0-0-0,0s,5.0,
Functional Body Composition,6.0,3.0,W4,Bottom up KB OH Carry L,1.0,20m,0-0-0-0,0s,5.0,
Functional Body Composition,6.0,3.0,W5,Single Arm Ring Row,1.0,8/arm,0-0-0-0,0s,5.0,
Functional Body Composition,6.0,3.0,1a,Incline Close Grip Bench Press,4.0,10-12,3-1-X-0,60s,8.0,
Functional Body Composition,6.0,3.0,1b,Single Arm DB Tripod Row,4.0,8-10/arm,2-0-X-2,60s,8.0,
Functional Body Composition,6.0,3.0,2a,Single Arm Dumbbell Bench Press,4.0,8-10/arm,3-1-X-0,60s,8.0,
Functional Body Composition,6.0,3.0,2b,Lean Away Strict Ring Pull Up,4.0,8-10,4-0-X-0,60s,8.0,
Functional Body Composition,6.0,3.0,3,For Quality,4.0,1 set,0-0-0-0,0s,7.0,20sec Adduction Bias Side Plank R; 20sec Adduction Bias Side Plank L; 8 Archer Ring Row R; 8 Archer Ring Row L; 8 Roll Out Push Ups R; 8 Roll Out Push Ups L
Functional Body Composition,6.0,4.0,W1,Alternating Rower Hamstring Curls,3.0,12,0-0-0-0,30s,5.0,2 legs up; 1 leg down eccentric
Functional Body Composition,6.0,4.0,W2,Plate Loaded Lateral Box Step Down,3.0,10/leg,0-0-0-0,0s,5.0,
Functional Body Composition,6.0,4.0,1a,Frog Stance Deadlift,4.0,10-12,3-1-X-1,60s,8.0,
Functional Body Composition,6.0,4.0,1b,KB Rack Deficit Split Squat,4.0,8-10/leg,2-1-1-0,60s,8.0,
Functional Body Composition,6.0,4.0,2a,GHD Hip Extension,4.0,8-10,3-0-2-1,60s,8.0,
Functional Body Composition,6.0,4.0,2b,Goblet Cossack Squat,4.0,16-20 alt,3-0-X-0,60s,8.0,
Functional Body Composition,6.0,4.0,3,Conditioning E2M x 6,6.0,1 set,0-0-0-0,0s,8.0,1st: 12/10 Cal Row + 6-8 Devils Press 50/35lbs; 2nd: 12 DB Thruster 50/35lbs + 10-12 Box Jump Step Down 24/20 inch; aim for 60-75sec completion
Functional Body Composition,6.0,5.0,W1,Alternating Quadruped Limb Lifts,3.0,20,0-0-0-0,0s,5.0,
Functional Body Composition,6.0,5.0,W2,Prone Y on Bench,3.0,12,0-0-0-0,0s,5.0,
Functional Body Composition,6.0,5.0,W3,Banded Plank,3.0,30sec,0-0-0-0,0s,5.0,
Functional Body Composition,6.0,5.0,1a,Farmers Press,4.0,8-10/arm,2-0-X-1,60s,8.0,
Functional Body Composition,6.0,5.0,1b,Decline Narrow Grip Bench Press,4.0,10-12,2-0-2-0,60s,8.0,
Functional Body Composition,6.0,5.0,1c,Alternating Dumbbell Curls,4.0,8-10/arm,3-0-X-1,60s,8.0,
Functional Body Composition,6.0,5.0,2,Interval Weight Training,3.0,1 set,0-0-0-0,2-3min,8.0,Assault Bike 9/7 Cals; 7 Renegade Rows 50/35lbs; Assault Bike 9/7 Cals; 7 Single Arm DB Power Clean and Jerk 50/35lbs R; 7 Single Arm DB Power Clean and Jerk 50/35lbs L; Assault Bike 9/7 Cals
Functional Body Composition,6.0,5.0,3,Not For Time,3.0,1 set,0-0-0-0,0s,7.0,4-6 Dead Hang to Inverted on Rings (hold top 3sec; lower 3sec); 8-10 Ring Bicep Curls 3030; 8-10 Parallette Tricep Push Ups 3030
Functional Body Composition,6.0,6.0,REST,Rest Day,0.0,0,0-0-0-0,0s,0.0,Easy Active Recovery
Functional Body Composition,6.0,7.0,REST,Rest Day,0.0,0,0-0-0-0,0s,0.0,Full Rest Day
Functional Body Composition,7.0,1.0,W1,Tall Kneeling Band Pull Aparts,3.0,12,1-0-1-0,0s,5.0,Hold 1sec with arms wide
Functional Body Composition,7.0,1.0,W2,Lateral Box Step Downs,3.0,6/leg,3-0-0-0,0s,5.0,3sec lowering
Functional Body Composition,7.0,1.0,W3,Reverse Quadruped Crawl,3.0,30sec,0-0-0-0,0s,5.0,
Functional Body Composition,7.0,1.0,1a,Back Rack Split Squat,4.0,8-10/leg,2-1-1-0,45s,8.0,Rear foot on 4-6 inch plates
Functional Body Composition,7.0,1.0,1b,Pronated Strict Pull Up,4.0,8-10,2-0-1-1,45s,8.0,
Functional Body Composition,7.0,1.0,2a,Cyclist Front Squat,4.0,8-10,3-1-X-0,45s,8.0,
Functional Body Composition,7.0,1.0,2b,Chainsaw Row,4.0,8-10/arm,2-0-X-2,45s,8.0,
Functional Body Composition,7.0,1.0,3,Pre-Fatigue Muscle Endurance,3.0,3min AMRAP,0-0-0-0,2min,8.0,Assault Bike 20/17 cals then max rounds: 2 KB Split Clean R 53/35lbs; 2 KB Single Arm Rack Lunge R; 2 KB Single Arm Thruster R; 2 KB Split Clean L; 2 KB Single Arm Rack Lunge L; 2 KB Single Arm Thruster L
Functional Body Composition,7.0,2.0,W1,Single Arm Suitcase KB Deadlifts R,3.0,5,0-0-0-0,0s,5.0,
Functional Body Composition,7.0,2.0,W2,Single Arm KB Cleans R,3.0,5,0-0-0-0,0s,5.0,
Functional Body Composition,7.0,2.0,W3,Single Arm KB Push Press R,3.0,5,0-0-0-0,0s,5.0,
Functional Body Composition,7.0,2.0,W4,Single Arm KB OH Carry R,3.0,20m,0-0-0-0,0s,5.0,
Functional Body Composition,7.0,2.0,W5,Single Arm Suitcase KB Deadlifts L,3.0,5,0-0-0-0,0s,5.0,
Functional Body Composition,7.0,2.0,W6,Single Arm KB Cleans L,3.0,5,0-0-0-0,0s,5.0,
Functional Body Composition,7.0,2.0,W7,Single Arm KB Push Press L,3.0,5,0-0-0-0,0s,5.0,
Functional Body Composition,7.0,2.0,W8,Single Arm KB OH Carry L,3.0,20m,0-0-0-0,0s,5.0,
Functional Body Composition,7.0,2.0,1a,Segmented Clean Deadlift,4.0,6-8,3-1-3-1,45s,8.0,Use straps
Functional Body Composition,7.0,2.0,1b,Half Kneeling Barbell Press,4.0,4-5/knee,2-0-X-2,45s,8.0,8-10 total reps per set
Functional Body Composition,7.0,2.0,2a,Deficit Landmine Single Leg RDL,4.0,8-10/leg,3-0-1-0,45s,8.0,
Functional Body Composition,7.0,2.0,2b,Single Arm Dumbbell Push Press,4.0,8-10/arm,3-0-X-1,45s,8.0,Explosive up; 3sec controlled lowering
Functional Body Composition,7.0,2.0,3,For Time @ 85%,1.0,4-6-8-10-12-14-16,0-0-0-0,2min,8.0,L-Sit Lift Overs; 30 Double Unders between sets
Functional Body Composition,7.0,2.0,4,For Time,1.0,2-4-6-8-10-12-14,0-0-0-0,0s,8.0,Toes to Rings; 6/5 Cals Assault Bike between sets
Functional Body Composition,7.0,3.0,W1,Dual Bottom Up KB Rack Carry,3.0,30sec,0-0-0-0,0s,5.0,
Functional Body Composition,7.0,3.0,W2,Single Arm Scap Push Up,3.0,8/arm,0-0-0-0,0s,5.0,
Functional Body Composition,7.0,3.0,W3,Single Arm Wtd Bar Hang,3.0,10sec/arm,0-0-0-0,0s,5.0,
Functional Body Composition,7.0,3.0,W4,Dual Kettlebell Shrug,3.0,12,0-0-0-0,0s,5.0,Pause 1sec at top
Functional Body Composition,7.0,3.0,1a,Wide Grip Bench Press,4.0,10-12,3-1-X-0,45s,8.0,
Functional Body Composition,7.0,3.0,1b,Pendlay Row,4.0,10-12,3-0-X-1,45s,8.0,
Functional Body Composition,7.0,3.0,2a,Strict Bar Dips,4.0,10-12,2-0-2-0,45s,8.0,
Functional Body Composition,7.0,3.0,2b,Body Row,4.0,12-14,3-0-X-0,45s,8.0,
Functional Body Composition,7.0,3.0,3,Continuous Pace 12min,1.0,12min,0-0-0-0,0s,7.0,6 Dual KB Clean 53/35; 20m Dual KB Rack Carry; 6 Alt Single Arm Bias Pull Ups 3/arm; 6 Dual KB Push Press 53/35; 20m Dual KB Rack Carry; 6 Strict Ring Dips
Functional Body Composition,7.0,4.0,W1,Banded Hip Thrusts w/ Alt Single Leg Eccentric,3.0,20,3-1-X-0,30s,5.0,
Functional Body Composition,7.0,4.0,W2,Good Morning Hold,3.0,30sec,0-0-0-0,30s,5.0,
Functional Body Composition,7.0,4.0,W3,KB Star Plank R,3.0,15sec,0-0-0-0,0s,5.0,
Functional Body Composition,7.0,4.0,W4,KB Star Plank L,3.0,15sec,0-0-0-0,0s,5.0,
Functional Body Composition,7.0,4.0,1a,Snatch Grip Romanian Deadlift,4.0,8-10,3-1-1-0,45s,8.0,
Functional Body Composition,7.0,4.0,1b,Suitcase Long Step Walking Lunge,4.0,14-16 steps,3-0-X-0,45s,8.0,
Functional Body Composition,7.0,4.0,2a,Barbell Hip Thrust,4.0,8-10,2-0-X-2,45s,8.0,
Functional Body Composition,7.0,4.0,2b,Goblet 1-1/4 Squat,4.0,8-10,2-1-1-1,45s,8.0,2sec lower; 1sec pause bottom; 1/4 squat and back down; rebound up; 1sec pause top
Functional Body Composition,7.0,4.0,3,EMOM x 12min,12.0,1 round,0-0-0-0,0s,8.0,1st: 12 Dual Russian KBS 53/35lbs; 2nd: 8-10 Alt KB Rack Reverse Lunge to Step Up 20/16 inch 53/35lbs; 3rd: 20-30sec Dual KB Hollow Flutter Kicks
Functional Body Composition,7.0,5.0,W1,Side Plank Rotations,3.0,12/side,0-0-0-0,0s,5.0,
Functional Body Composition,7.0,5.0,W2,Bent Over Alternating DB Row,3.0,12,0-0-0-0,0s,5.0,Hold 1sec at top each
JackProgram,1.0,1.0,1.0,Leg Press,4.0,10-12,3-1-1-0,120s,6.0,"Knees track over toes, full depth, no bouncing at the bottom. 2 ramp-up sets first."
JackProgram,1.0,1.0,2.0,Dumbbell Bench Press,4.0,8-10,3-1-1-0,90s,6.0,Pin shoulder blades back and down. Slow controlled descent to chest level.
JackProgram,1.0,1.0,3.0,Smith Machine Split Squat,3.0,10/leg,3-1-1-0,90s,6.0,"Upright torso, front knee stable over ankle. Alternate legs each set."
JackProgram,1.0,1.0,4.0,Cable Chest Fly,3.0,12-15,3-1-1-0,60s,6.0,"Squeeze chest at the top, slight bend in elbows. Don't let shoulders roll forward."
JackProgram,1.0,1.0,5.0,Hanging Knee Raise,3.0,12-15,2-1-1-0,60s,6.0,"Control the swing. Curl pelvis up, don't just lift knees. Slow negative."
JackProgram,1.0,2.0,1.0,Cardio Warmup,1.0,5 min,,,4.0,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
JackProgram,1.0,2.0,2.0,Air Bike Sprints,3.0,20 kcal ALL OUT,,240s,10.0,ALL OUT sprints. 3 sets x 20 kcal. Rest 3-5 min between sets. This is maximum effort.
JackProgram,1.0,3.0,1.0,Romanian Deadlift,4.0,8.0,3-1-1-0,120s,6.0,"Hips back, neutral spine, feel hamstring stretch. Bar stays close to legs. 2 ramp-up sets first."
JackProgram,1.0,3.0,2.0,Lat Pulldown,4.0,10.0,3-1-1-0,90s,6.0,"Pull elbows to ribs, chest tall. Full stretch at the top, squeeze at the bottom."
JackProgram,1.0,3.0,3.0,Seated Row Machine,3.0,12.0,3-1-1-0,90s,6.0,"Chest against pad, pull to lower chest. Squeeze shoulder blades together."
JackProgram,1.0,3.0,4.0,Cable Face Pulls,3.0,15.0,2-2-1-0,60s,6.0,"Pull to forehead level, externally rotate at the end. Shoulder health focus."
JackProgram,1.0,3.0,5.0,Plank Hold,3.0,45s,,60s,6.0,"Brace core tight, neutral spine. Squeeze glutes. Don't let hips sag or pike."
JackProgram,1.0,4.0,1.0,Cardio Warmup,1.0,5 min,,,4.0,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
JackProgram,1.0,4.0,2.0,Steady Tempo Treadmill Run,1.0,20 min,,,6.0,"Continuous steady effort for 20 minutes at RPE 6. Consistent pace, no stopping. Build aerobic base."
JackProgram,1.0,5.0,1.0,Goblet Squat,4.0,12.0,3-1-1-0,90s,6.0,"Hold dumbbell at chest. Sit between knees, upright torso. Full depth."
JackProgram,1.0,5.0,2.0,Incline Dumbbell Press,3.0,10.0,3-1-1-0,90s,6.0,"30-degree incline. Control the descent, full range of motion. Shoulder blades pinned."
JackProgram,1.0,5.0,3.0,Cable Row,3.0,12.0,3-1-1-0,90s,6.0,"Pull to navel, chest up. Squeeze at the back, controlled release."
JackProgram,1.0,5.0,4.0,Walking Lunges,3.0,12/leg,2-0-1-0,90s,6.0,"Long stride, upright torso. Control the descent, drive through front heel."
JackProgram,1.0,5.0,5.0,Farmer Carry,3.0,40m,,90s,6.0,"Heavy but stable posture. Shoulders back and down, tight core, don't lean."
JackProgram,1.0,6.0,1.0,Cardio Warmup,1.0,5 min,,,4.0,"5 min easy pace on rower, then 3x20 sec build-up efforts with 1 min easy between."
JackProgram,1.0,6.0,2.0,Rowing Machine,3.0,2000m,,240s,8.0,3 x 2000m at 2:00 per 500m pace. Rest 4 min between sets. Maintain consistent split. This is the engine-builder.
JackProgram,1.0,7.0,REST,Rest Day,0.0,0.0,,,,"Full rest day. Prioritise sleep, hydration, and nutrition. Light walking or stretching if desired."
JackProgram,2.0,8.0,1.0,Leg Press,4.0,10-12,3-1-1-0,120s,6.5,"Knees track over toes, full depth, no bouncing at the bottom. 2 ramp-up sets first."
JackProgram,2.0,8.0,2.0,Dumbbell Bench Press,4.0,8-10,3-1-1-0,90s,6.5,Pin shoulder blades back and down. Slow controlled descent to chest level.
JackProgram,2.0,8.0,3.0,Smith Machine Split Squat,3.0,10/leg,3-1-1-0,90s,6.5,"Upright torso, front knee stable over ankle. Alternate legs each set."
JackProgram,2.0,8.0,4.0,Cable Chest Fly,3.0,12-15,3-1-1-0,60s,6.5,"Squeeze chest at the top, slight bend in elbows. Don't let shoulders roll forward."
JackProgram,2.0,8.0,5.0,Hanging Knee Raise,3.0,12-15,2-1-1-0,60s,6.5,"Control the swing. Curl pelvis up, don't just lift knees. Slow negative."
JackProgram,2.0,9.0,1.0,Cardio Warmup,1.0,5 min,,,4.0,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
JackProgram,2.0,9.0,2.0,Self-Powered Treadmill Sprints,3.0,22 kcal ALL OUT,,240s,10.0,ALL OUT sprints. 3 sets x 22 kcal. Rest 3-5 min between sets. This is maximum effort.
JackProgram,2.0,10.0,1.0,Romanian Deadlift,4.0,8.0,3-1-1-0,120s,6.5,"Hips back, neutral spine, feel hamstring stretch. Bar stays close to legs. 2 ramp-up sets first."
JackProgram,2.0,10.0,2.0,Lat Pulldown,4.0,10.0,3-1-1-0,90s,6.5,"Pull elbows to ribs, chest tall. Full stretch at the top, squeeze at the bottom."
JackProgram,2.0,10.0,3.0,Seated Row Machine,3.0,12.0,3-1-1-0,90s,6.5,"Chest against pad, pull to lower chest. Squeeze shoulder blades together."
JackProgram,2.0,10.0,4.0,Cable Face Pulls,3.0,15.0,2-2-1-0,60s,6.5,"Pull to forehead level, externally rotate at the end. Shoulder health focus."
